MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
677062300,2022-12-08T00:03:17,25.79709,-80.24636,0,360,314,PEPIN EXPRESS,IMO9196228,5IM723,70,5,90,13,4.3,70,A
677062300,2022-12-08T00:06:17,25.79703,-80.24635,0,360,314,PEPIN EXPRESS,IMO9196228,5IM723,70,5,90,13,4.3,70,A
671969100,2022-12-08T00:00:01,18.46156,-66.10332,0.1,232.1,511,ADMIRAL PRIDE,IMO918452400,5VFH5,70,0,60,14,4,70,A
671969100,2022-12-08T00:01:11,18.46157,-66.10341,0.1,231.3,511,ADMIRAL PRIDE,IMO918452400,5VFH5,70,0,60,14,4,70,A
671969100,2022-12-08T00:02:21,18.46155,-66.10333,0,233.4,511,ADMIRAL PRIDE,IMO918452400,5VFH5,70,0,60,14,4,70,A
671969100,2022-12-08T00:03:31,18.46156,-66.10334,0,235.3,511,ADMIRAL PRIDE,IMO918452400,5VFH5,70,0,60,14,4,70,A
671969100,2022-12-08T00:04:41,18.46156,-66.10334,0,240,511,ADMIRAL PRIDE,IMO918452400,5VFH5,70,0,60,14,4,70,A
671960000,2022-12-08T00:01:19,18.3351,-64.94603,0.1,239.8,212,LADY.ROMNEY,IMO7047203,5VFG4,70,5,63,10,4,70,A
671830000,2022-12-08T00:00:03,25.79633,-80.24547,0,360,511,SLINGSHOT,IMO8126549,5VEO6,70,5,63,9,4.5,70,A
671830000,2022-12-08T00:03:03,25.79634,-80.24546,0,360,511,SLINGSHOT,IMO8126549,5VEO6,70,5,63,9,4.5,70,A
671830000,2022-12-08T00:06:04,25.79633,-80.24544,0,360,511,SLINGSHOT,IMO8126549,5VEO6,70,5,63,9,4.5,70,A
671317100,2022-12-08T00:00:02,17.77657,-65.86632,6.6,278.3,511,GREEN NICOYA,IMO9130884,5VIH6,99,3,27,8,4,99,A
671317100,2022-12-08T00:01:10,17.77694,-65.86856,6.8,279.2,511,GREEN NICOYA,IMO9130884,5VIH6,99,3,27,8,4,99,A
671317100,2022-12-08T00:02:22,17.77731,-65.87085,6.3,279.4,511,GREEN NICOYA,IMO9130884,5VIH6,99,3,27,8,4,99,A
671317100,2022-12-08T00:03:31,17.77769,-65.87309,6.6,281,511,GREEN NICOYA,IMO9130884,5VIH6,99,3,27,8,4,99,A
671317100,2022-12-08T00:04:42,17.77812,-65.87534,6.6,282.6,511,GREEN NICOYA,IMO9130884,5VIH6,99,3,27,8,4,99,A
671317100,2022-12-08T00:05:51,17.77849,-65.87748,6.6,282.1,511,GREEN NICOYA,IMO9130884,5VIH6,99,3,27,8,4,99,A
671299100,2022-12-08T00:00:32,25.80367,-80.25516,0,161.3,511,GERMAINE,IMO7914482,5VIE6,90,5,52,12,3,90,A
671299100,2022-12-08T00:03:33,25.80377,-80.25514,0,159.6,511,GERMAINE,IMO7914482,5VIE6,90,5,52,12,3,90,A
671299100,2022-12-08T00:06:29,25.80372,-80.25516,0,166.3,511,GERMAINE,IMO7914482,5VIE6,90,5,52,12,3,90,A
671226100,2022-12-08T00:00:18,25.79843,-80.24843,0,158.4,511,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,3.5,77,A
671226100,2022-12-08T00:01:27,25.79842,-80.24843,0,156.2,511,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,3.5,77,A
671226100,2022-12-08T00:02:37,25.79842,-80.24845,0,162.2,511,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,3.5,77,A
671226100,2022-12-08T00:03:48,25.79841,-80.24846,0,169.7,511,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,3.5,77,A
